label,delta_encL,delta_encR,heading,cmdL,cmdR
forward,0,0,350.8125,15,15
forward,-5,-3,350.8125,15,15
forward,-12,-13,350.75,15,15
forward,-18,-16,350.6875,15,15
forward,-26,-25,350.6875,15,15
forward,-24,-23,350.6875,15,15
forward,-26,-24,350.625,15,15
forward,-28,-26,350.5625,15,15
forward,-30,-26,350.4375,15,15
forward,-28,-25,350.3125,15,15
forward,-28,-27,350.25,15,16
forward,-31,-27,350.125,15,16
forward,-27,-27,350.0625,15,16
forward,-29,-28,350,15,17
forward,-28,-27,349.9375,15,17
forward,-29,-29,349.9375,15,17
forward,-31,-29,349.8125,15,18
forward,-30,-29,349.8125,15,18
forward,-31,-30,349.6875,15,18
forward,-31,-31,349.625,15,18
forward,-31,-31,349.6875,15,20
forward,-31,-32,349.625,15,20
forward,-31,-34,349.75,15,20
forward,-32,-33,349.75,15,20
forward,-32,-36,349.875,15,21
forward,-32,-33,349.9375,15,21
forward,-33,-35,350.0625,15,21
forward,-33,-33,350,15,21
forward,-33,-36,350.125,15,22
forward,-34,-34,350.125,15,22
forward,-33,-36,350.125,15,22
forward,-34,-34,350.1875,15,23
forward,-32,-36,350.3125,15,23
forward,-32,-36,350.4375,15,23
forward,-33,-36,350.5625,15,23
forward,-33,-35,350.625,15,23
forward,-35,-35,350.625,15,23
forward,-34,-37,350.6875,15,23
forward,-37,-37,350.625,15,23
forward,-34,-38,350.6875,15,23
forward,-34,-37,350.6875,15,23
forward,-34,-38,350.8125,15,23
forward,-35,-37,350.8125,15,23
forward,-34,-37,350.875,15,23
forward,-35,-36,350.875,15,23
forward,-33,-38,351,15,23
forward,-35,-37,351.0625,15,23
forward,-34,-37,351.0625,15,23
forward,-35,-36,351.0625,15,23
forward,-35,-37,351,15,23
forward,-34,-36,351.0625,15,23
forward,-35,-36,351.0625,15,23
forward,-35,-37,351.125,15,23
forward,-34,-37,351.125,15,23
forward,-34,-36,351.125,15,23
forward,-35,-37,351.125,15,22
forward,-35,-37,351.125,15,22
forward,-34,-36,351.125,15,22
forward,-34,-36,351.1875,15,21
forward,-34,-36,351.25,15,21
forward,-34,-37,351.375,15,21
forward,-34,-35,351.375,15,21
forward,-34,-34,351.5,15,20
forward,-33,-34,351.5,15,20
forward,-34,-33,351.5625,15,20
forward,-35,-33,351.5625,15,19
forward,-33,-33,351.625,15,19
forward,-33,-33,351.5625,15,19
forward,-33,-32,351.5625,15,18
