time,label,delta_encL,delta_encR,heading,cmdL,cmdR
1763696276.2598848,forward,0,0,125.5,25,25
1763696276.310004,forward,-8,-4,125.5,25,25
1763696276.3601193,forward,-33,-27,125.375,25,25
1763696276.4102347,forward,-33,-29,125.1875,25,26
1763696276.4616082,forward,-45,-1105,124.6875,25,27
1763696277.5033927,forward,-1123,-25,124.75,25,27
1763696277.553507,forward,-55,-54,124.6875,25,27
1763696277.603619,forward,-55,-55,124.75,25,27
1763696277.6537316,forward,-56,-55,124.75,25,28
1763696277.7038436,forward,-56,-54,124.6875,25,28
1763696277.753956,forward,-55,-55,124.75,25,28
1763696277.804068,forward,-56,-55,124.6875,25,28
1763696277.854184,forward,-56,-56,124.625,25,29
1763696277.9042978,forward,-57,-56,124.5625,25,29
1763696277.954412,forward,-56,-58,124.5625,25,29
1763696278.0045223,forward,-56,-58,124.5625,25,30
1763696278.0546334,forward,-57,-57,124.5625,25,30
1763696278.1047459,forward,-57,-58,124.625,25,30
1763696278.1548576,forward,-59,-59,124.625,25,31
1763696278.2049692,forward,-58,-58,124.625,25,31
1763696278.2550807,forward,-57,-58,124.6875,25,31
1763696278.3051937,forward,-58,-59,124.6875,25,31
1763696278.3553047,forward,-62,-64,124.75,25,32
1763696278.4054186,forward,-58,-61,124.75,25,32
1763696278.4555278,forward,-58,-60,124.75,25,32
1763696278.5056386,forward,-58,-60,124.75,25,32
1763696278.5557504,forward,-58,-61,124.875,25,33
1763696278.605862,forward,-58,-63,124.9375,25,33
1763696278.6559734,forward,-58,-64,125.125,25,33
1763696278.706086,forward,-59,-64,125.1875,25,33
1763696278.7561975,forward,-59,-64,125.3125,25,33
1763696278.8063126,forward,-60,-63,125.375,25,33
1763696278.856429,forward,-59,-62,125.4375,25,33
1763696278.9065416,forward,-59,-63,125.5,25,33
1763696278.9566543,forward,-60,-62,125.5,25,33
1763696279.0067654,forward,-59,-63,125.5625,25,33
1763696279.0568788,forward,-59,-63,125.5625,25,33
1763696279.1069927,forward,-60,-63,125.6875,25,33
1763696279.1571038,forward,-59,-63,125.75,25,33
1763696279.2072165,forward,-59,-63,125.8125,25,33
1763696279.2573287,forward,-60,-63,125.875,25,32
1763696279.3074515,forward,-60,-62,125.875,25,32
1763696279.3575644,forward,-58,-61,126.0,25,32
1763696279.407679,forward,-58,-62,126.0625,25,31
1763696279.457787,forward,-59,-61,126.125,25,31
1763696279.5078979,forward,-59,-59,126.0625,25,31
1763696279.5580091,forward,-59,-59,125.9375,25,31
1763696279.608123,forward,-58,-60,126.0625,25,30
1763696279.6582406,forward,-60,-61,126.1875,25,30
1763696279.7083538,forward,-57,-59,126.25,25,30
1763696279.7584653,forward,-58,-59,126.25,25,29
1763696279.808578,forward,-58,-59,126.3125,25,29
1763696279.85869,forward,-58,-59,126.375,25,29
1763696279.9088023,forward,-58,-61,126.3125,25,28
1763696279.958932,forward,-56,-57,126.375,25,28
1763696280.0090494,forward,-53,-56,126.25,25,28
1763696280.0591605,forward,-57,-52,126.1875,25,28
1763696280.1092732,forward,-60,-60,126.125,25,27
1763696280.1593852,forward,-57,-55,126.0625,25,27
1763696280.2094982,forward,-57,-54,126.0625,25,27
1763696280.2596095,forward,-56,-54,126.0625,25,27
1763696280.3097224,forward,-57,-53,126.0,25,26
1763696280.3598392,forward,-56,-54,125.9375,25,26
1763696280.4099534,forward,-57,-53,125.875,25,26
1763696280.460064,forward,-56,-53,125.875,25,26
1763696280.5101752,forward,-54,-51,125.8125,25,25
1763696280.5602875,forward,-54,-52,125.75,25,25
1763696280.6104016,forward,-54,-51,125.6875,25,25
1763696280.6605144,forward,-55,-48,125.4375,25,25
1763696280.710627,forward,-55,-50,125.3125,25,25
1763696280.7607393,forward,-53,-49,125.25,25,25
1763696280.810852,forward,-53,-51,125.25,25,25
1763696280.8609655,forward,-51,-52,125.3125,25,25
1763696280.9110806,forward,-53,-50,125.3125,25,25
1763696280.9611936,forward,-54,-51,125.25,25,25
1763696281.0113056,forward,-54,-51,125.25,25,25
1763696281.0614183,forward,-54,-52,125.25,25,25
1763696281.11154,forward,-54,-50,125.125,25,25
1763696281.1616516,forward,-54,-52,125.0625,25,26
1763696281.2117617,forward,-54,-52,125.0,25,26
1763696281.261873,forward,-54,-51,124.9375,25,26
1763696281.3119984,forward,-55,-53,124.875,25,26
1763696281.362114,forward,-55,-53,124.8125,25,27
1763696281.4122257,forward,-54,-53,124.75,25,27
1763696281.4623346,forward,-58,-57,124.75,25,27
1763696281.5124462,forward,-56,-54,124.75,25,28
1763696281.5625572,forward,-56,-51,124.6875,25,28
1763696281.612669,forward,-57,-60,124.75,25,28
1763696281.6627796,forward,-56,-55,124.75,25,28
1763696281.7128906,forward,-56,-55,124.6875,25,29
1763696281.7629998,forward,-56,-57,124.625,25,29
1763696281.8131118,forward,-54,-57,124.625,25,29
1763696281.8632216,forward,-56,-57,124.625,25,30
1763696281.9133332,forward,-57,-56,124.625,25,30
1763696281.9634447,forward,-56,-57,124.5625,25,30
1763696282.0135567,forward,-57,-59,124.625,25,31
1763696282.0636673,forward,-56,-61,124.8125,25,31
1763696282.1137793,forward,-58,-60,124.875,25,31
1763696282.1638892,forward,-57,-61,124.9375,25,31
1763696282.214,forward,-58,-60,125.0,25,32
1763696282.2641106,forward,-59,-61,125.0,25,32
1763696282.314221,forward,-58,-62,125.0,25,32
1763696282.364332,forward,-58,-61,125.125,25,33
1763696282.4144418,forward,-59,-62,125.1875,25,33
1763696282.4645495,forward,-58,-64,125.1875,25,33
1763696282.51466,forward,-59,-63,125.1875,25,33
1763696282.5647705,forward,-60,-63,125.1875,25,34
1763696282.6148818,forward,-60,-64,125.375,25,34
1763696282.664995,forward,-60,-64,125.4375,25,34
1763696282.7151055,forward,-60,-64,125.5,25,34
1763696282.7652185,forward,-60,-64,125.6875,25,34
1763696282.8153293,forward,-63,-65,125.75,25,34
1763696282.8654416,forward,-59,-69,125.8125,25,34
1763696282.9155536,forward,-60,-64,125.9375,25,33
1763696282.9656825,forward,-60,-63,125.9375,25,33
1763696283.015798,forward,-60,-63,125.9375,25,33
1763696283.0659103,forward,-55,-60,126.125,25,33
1763696283.1160223,forward,-59,-64,126.25,25,32
1763696283.166135,forward,-59,-63,126.3125,25,32
1763696283.2162457,forward,-59,-62,126.3125,25,32
1763696283.2663565,forward,-63,-68,126.5,25,31
1763696283.3164704,forward,-59,-62,126.5625,25,31
1763696283.366581,forward,-59,-61,126.5625,25,31
1763696283.4166937,forward,-59,-60,126.5625,25,31
1763696283.4668012,forward,-58,-61,126.625,25,29
1763696283.516911,forward,-58,-58,126.5625,25,29
1763696283.567023,forward,-58,-57,126.5,25,29
1763696283.6171343,forward,-58,-58,126.5,25,29
1763696283.6672468,forward,-57,-57,126.5,25,28
