time,label,delta_encL,delta_encR,heading,cmdL,cmdR
1763695871.2523632,forward,0,0,312.0,15,15
1763695871.302481,forward,-3,-2,312.0,15,15
1763695871.3525903,forward,-15,-12,312.0625,15,15
1763695871.4027028,forward,-17,-13,311.9375,15,15
1763695871.4528139,forward,-23,-22,311.8125,15,15
1763695871.50293,forward,-24,-22,311.75,15,15
1763695871.5530477,forward,-25,-24,311.75,15,15
1763695871.6031623,forward,-27,-24,311.6875,15,15
1763695871.6532757,forward,-26,-26,311.625,15,15
1763695871.7033894,forward,-28,-25,311.5625,15,15
1763695871.753502,forward,-28,-26,311.5,15,16
1763695871.8036163,forward,-28,-26,311.4375,15,16
1763695871.8537357,forward,-28,-27,311.4375,15,16
1763695871.9038484,forward,-29,-26,311.375,15,17
1763695871.9539616,forward,-29,-27,311.25,15,17
1763695872.0040731,forward,-28,-27,311.25,15,17
1763695872.0541852,forward,-29,-28,311.1875,15,17
1763695872.1042976,forward,-30,-28,311.0625,15,18
1763695872.1544096,forward,-29,-30,311.0,15,18
1763695872.2045226,forward,-31,-29,311.0,15,18
1763695872.2546353,forward,-30,-30,311.0,15,18
1763695872.3047478,forward,-31,-29,311.0,15,19
1763695872.354856,forward,-30,-33,311.0,15,19
1763695872.404967,forward,-30,-31,311.0625,15,19
1763695872.4550784,forward,-31,-32,311.0625,15,20
1763695872.5051904,forward,-30,-32,311.125,15,20
1763695872.5553024,forward,-31,-32,311.125,15,20
1763695872.6054153,forward,-31,-35,311.1875,15,20
1763695872.6555269,forward,-32,-34,311.125,15,21
1763695872.7056375,forward,-33,-35,311.25,15,21
1763695872.7557476,forward,-32,-32,311.3125,15,21
1763695872.8058589,forward,-32,-34,311.375,15,22
1763695872.8559704,forward,-32,-32,311.375,15,22
1763695872.9060838,forward,-32,-33,311.375,15,22
1763695872.956196,forward,-31,-34,311.5,15,23
1763695873.006307,forward,-33,-36,311.5625,15,23
1763695873.056421,forward,-33,-36,311.625,15,23
1763695873.106533,forward,-34,-35,311.5625,15,23
1763695873.156645,forward,-34,-36,311.5625,15,24
1763695873.2067559,forward,-34,-35,311.5625,15,24
1763695873.256868,forward,-33,-39,311.6875,15,24
1763695873.3069804,forward,-34,-36,311.75,15,24
1763695873.3570905,forward,-35,-39,311.875,15,24
1763695873.407207,forward,-34,-38,311.875,15,24
1763695873.45732,forward,-34,-39,312.0,15,24
1763695873.5074549,forward,-35,-37,311.9375,15,24
1763695873.5575671,forward,-34,-37,312.0,15,24
1763695873.6076818,forward,-35,-38,312.0,15,24
1763695873.6577919,forward,-35,-38,312.0625,15,24
1763695873.707903,forward,-38,-40,312.0625,15,24
1763695873.758015,forward,-35,-38,312.125,15,24
1763695873.808127,forward,-35,-37,312.125,15,24
1763695873.8582387,forward,-34,-37,312.125,15,24
1763695873.9083512,forward,-34,-38,312.1875,15,24
1763695873.958465,forward,-34,-37,312.1875,15,24
1763695874.0085795,forward,-35,-38,312.25,15,24
1763695874.0586913,forward,-35,-38,312.25,15,24
1763695874.1088035,forward,-35,-38,312.25,15,24
1763695874.1589162,forward,-35,-38,312.25,15,24
1763695874.209029,forward,-35,-37,312.375,15,23
1763695874.2591417,forward,-35,-37,312.375,15,23
1763695874.309253,forward,-34,-36,312.5,15,23
1763695874.3593633,forward,-34,-37,312.5625,15,22
1763695874.4094748,forward,-34,-36,312.6875,15,22
1763695874.4595866,forward,-34,-36,312.6875,15,22
1763695874.5096984,forward,-35,-35,312.6875,15,21
1763695874.5598102,forward,-35,-36,312.75,15,21
1763695874.6099212,forward,-34,-34,312.75,15,21
1763695874.6600337,forward,-32,-34,312.8125,15,20
1763695874.7101443,forward,-32,-32,312.8125,15,20
1763695874.7602563,forward,-32,-32,312.8125,15,20
1763695874.8103669,forward,-33,-33,312.9375,15,20
1763695874.86049,forward,-31,-32,312.9375,15,19
1763695874.910605,forward,-31,-32,312.9375,15,19
1763695874.9607184,forward,-32,-30,312.9375,15,19
1763695875.0108318,forward,-32,-31,312.8125,15,19
1763695875.0609481,forward,-34,-34,312.8125,15,18
1763695875.1110628,forward,-32,-31,312.8125,15,18
1763695875.1611743,forward,-31,-31,312.8125,15,18
1763695875.2112904,forward,-30,-29,312.75,15,18
1763695875.2614026,forward,-31,-31,312.8125,15,17
1763695875.3115144,forward,-31,-30,312.75,15,17
1763695875.3616245,forward,-31,-29,312.75,15,17
1763695875.411735,forward,-31,-29,312.6875,15,17
1763695875.4618464,forward,-30,-28,312.6875,15,16
1763695875.511956,forward,-32,-31,312.625,15,16
1763695875.5620673,forward,-31,-29,312.625,15,16
1763695875.6121805,forward,-29,-28,312.5,15,15
1763695875.6622918,forward,-31,-28,312.5,15,15
1763695875.712405,forward,-30,-27,312.375,15,15
1763695875.7625175,forward,-29,-25,312.3125,15,15
1763695875.8126287,forward,-28,-26,312.1875,15,15
1763695875.8627388,forward,-28,-26,312.125,15,15
