label,delta_encL,delta_encR,heading,cmdL,cmdR,heading_error,
forward,0,0,304.625,10,10,0,
forward,-2,-2,304.625,10,10,0,
forward,-12,-7,304.625,10,10,0,
forward,-9,-7,304.4375,10,11,0.1875,
forward,-9,-9,304.4375,10,11,0.1875,
forward,-12,-11,304.4375,10,11,0.1875,
forward,-11,-12,304.4375,10,12,0.1875,
forward,-12,-12,304.4375,10,12,0.1875,
forward,-13,-14,304.4375,10,12,0.1875,
forward,-14,-14,304.5,10,13,0.125,
forward,-15,-16,304.5625,10,13,0.0625,
forward,-16,-16,304.5625,10,13,0.0625,
forward,-17,-17,304.5625,10,13,0.0625,
forward,-18,-17,304.5625,10,14,0.0625,
forward,-16,-19,304.625,10,14,0,
forward,-19,-19,304.625,10,14,0,
forward,-18,-18,304.625,10,14,0,
forward,-19,-19,304.625,10,14,0,
forward,-18,-19,304.6875,10,14,-0.0625,
forward,-19,-18,304.625,10,14,0,
forward,-19,-18,304.625,10,14,0,
forward,-18,-18,304.625,10,14,0,
forward,-18,-17,304.6875,10,14,-0.0625,
forward,-18,-18,304.6875,10,14,-0.0625,
forward,-18,-17,304.6875,10,13,-0.0625,
forward,-18,-18,304.75,10,13,-0.125,
forward,-18,-16,304.75,10,13,-0.125,
forward,-18,-17,304.6875,10,13,-0.0625,
forward,-18,-17,304.6875,10,12,-0.0625,
forward,-18,-16,304.625,10,12,0,
forward,-17,-15,304.5625,10,12,0.0625,
forward,-19,-16,304.5,10,12,0.125,
forward,-18,-17,304.4375,10,13,0.1875,
forward,-18,-16,304.5,10,13,0.125,
forward,-16,-16,304.5,10,13,0.125,
forward,-17,-17,304.5,10,14,0.125,
forward,-17,-18,304.5625,10,14,0.0625,
forward,-16,-16,304.5625,10,14,0.0625,
forward,-16,-17,304.625,10,14,0,
forward,-18,-18,304.625,10,14,0,
forward,-17,-18,304.625,10,14,0,
forward,-18,-18,304.625,10,14,0,
forward,-18,-19,304.6875,10,14,-0.0625,
forward,-17,-17,304.625,10,14,0,
forward,-19,-19,304.625,10,14,0,
forward,-18,-19,304.625,10,14,0,
forward,-18,-19,304.625,10,14,0,
forward,-19,-18,304.5625,10,15,0.0625,
forward,-18,-18,304.5625,10,15,0.0625,
forward,-19,-20,304.5625,10,15,0.0625,
forward,-19,-21,304.625,10,15,0,
forward,-19,-19,304.5625,10,15,0.0625,
forward,-20,-19,304.625,10,15,0,
forward,-20,-20,304.5625,10,15,0.0625,
forward,-19,-20,304.625,10,15,0,
forward,-20,-18,304.5625,10,15,0.0625,
forward,-20,-20,304.5625,10,15,0.0625,
forward,-20,-20,304.5625,10,15,0.0625,
forward,-18,-18,304.5,10,16,0.125,
forward,-19,-19,304.5,10,16,0.125,
forward,-19,-19,304.5,10,16,0.125,
forward,-18,-20,304.5625,10,17,0.0625,
forward,-20,-20,304.5,10,17,0.125,
forward,-19,-21,304.5625,10,17,0.0625,
forward,-21,-21,304.5625,10,17,0.0625,
forward,-20,-22,304.5,10,18,0.125,
forward,-22,-22,304.5,10,18,0.125,
forward,-21,-22,304.5,10,18,0.125,
forward,-23,-24,304.5,10,19,0.125,
forward,-22,-23,304.5,10,19,0.125,
forward,-20,-22,304.5625,10,19,0.0625,
forward,-22,-25,304.625,10,19,0,
forward,-23,-24,304.625,10,19,0,
forward,-22,-23,304.6875,10,19,-0.0625,
forward,-22,-26,304.75,10,19,-0.125,
forward,-22,-24,304.75,10,19,-0.125,
forward,-22,-23,304.75,10,18,-0.125,
forward,-23,-26,304.875,10,18,-0.25,
forward,-22,-24,304.875,10,18,-0.25,
forward,-22,-23,304.875,10,17,-0.25,
forward,-23,-24,304.9375,10,17,-0.3125,
forward,-22,-23,305,10,17,-0.375,
forward,-23,-22,304.9375,10,16,-0.3125,
forward,-21,-23,305,10,16,-0.375,
forward,-22,-22,305,10,16,-0.375,
forward,-21,-20,304.9375,10,15,-0.3125,
forward,-21,-21,304.9375,10,15,-0.3125,
forward,-21,-18,305,10,15,-0.375,
forward,-20,-20,304.9375,10,14,-0.3125,
forward,-20,-18,304.875,10,14,-0.25,
forward,-19,-19,304.9375,10,14,-0.3125,
forward,-19,-19,305,10,13,-0.375,
forward,-19,-18,304.9375,10,13,-0.3125,
forward,-19,-18,304.9375,10,13,-0.3125,
forward,-18,-17,304.9375,10,13,-0.3125,
forward,-19,-18,304.875,10,12,-0.25,
forward,-19,-17,304.8125,10,12,-0.1875,
forward,-20,-17,304.75,10,12,-0.125,
forward,-18,-17,304.6875,10,11,-0.0625,
forward,-18,-16,304.75,10,11,-0.125,
forward,-19,-16,304.6875,10,11,-0.0625,
forward,-17,-15,304.6875,10,11,-0.0625,
forward,-15,-15,304.6875,10,10,-0.0625,
forward,-14,-15,304.75,10,10,-0.125,
forward,-15,-14,304.6875,10,10,-0.0625,
forward,-16,-14,304.6875,10,9,-0.0625,
forward,-15,-14,304.6875,10,9,-0.0625,
forward,-15,-13,304.6875,10,9,-0.0625,
forward,-15,-13,304.75,10,9,-0.125,
forward,-15,-13,304.625,10,9,0,
forward,-15,-13,304.625,10,9,0,
forward,-14,-13,304.625,10,9,0,
forward,-15,-14,304.625,10,9,0,
forward,-15,-13,304.5625,10,9,0.0625,
forward,-15,-13,304.5,10,9,0.125,
forward,-15,-13,304.5,10,9,0.125,
forward,-14,-12,304.4375,10,10,0.1875,
forward,-15,-14,304.4375,10,10,0.1875,
forward,-14,-14,304.4375,10,10,0.1875,
forward,-16,-15,304.4375,10,10,0.1875,
forward,-15,-15,304.4375,10,11,0.1875,
forward,-15,-14,304.4375,10,11,0.1875,
forward,-14,-15,304.4375,10,11,0.1875,
forward,-16,-14,304.375,10,12,0.25,
forward,-17,-16,304.375,10,12,0.25,
forward,-17,-17,304.375,10,12,0.25,
forward,-16,-16,304.375,10,12,0.25,
forward,-17,-17,304.3125,10,13,0.3125,
forward,-17,-16,304.3125,10,13,0.3125,
forward,-16,-17,304.3125,10,13,0.3125,
forward,-17,-15,304.25,10,14,0.375,
forward,-17,-17,304.25,10,14,0.375,
forward,-16,-17,304.25,10,14,0.375,
forward,-18,-18,304.25,10,14,0.375,
forward,-18,-18,304.25,10,15,0.375,
forward,-18,-18,304.25,10,15,0.375,
forward,-18,-20,304.25,10,15,0.375,
forward,-18,-20,304.1875,10,15,0.4375,
forward,-20,-20,304.1875,10,16,0.4375,
forward,-19,-21,304.1875,10,16,0.4375,
forward,-21,-21,304.1875,10,16,0.4375,
forward,-20,-20,304.1875,10,17,0.4375,
forward,-20,-22,304.1875,10,17,0.4375,
forward,-20,-22,304.25,10,17,0.375,
forward,-21,-22,304.1875,10,17,0.4375,
forward,-21,-22,304.25,10,18,0.375,
forward,-21,-23,304.3125,10,18,0.3125,
forward,-21,-23,304.3125,10,18,0.3125,
forward,-23,-24,304.375,10,19,0.25,
forward,-21,-24,304.375,10,19,0.25,
forward,-20,-23,304.5,10,19,0.125,
forward,-22,-25,304.5,10,20,0.125,
forward,-23,-27,304.5625,10,20,0.0625,
forward,-22,-25,304.6875,10,20,-0.0625,
forward,-24,-26,304.6875,10,20,-0.0625,
forward,-23,-26,304.75,10,19,-0.125,
forward,-23,-25,304.875,10,19,-0.25,
forward,-23,-25,304.8125,10,19,-0.1875,
forward,-24,-24,304.875,10,18,-0.25,
forward,-22,-23,304.9375,10,18,-0.3125,
forward,-22,-22,304.875,10,18,-0.25,
forward,-22,-24,304.9375,10,17,-0.3125,
forward,-21,-21,305.0625,10,17,-0.4375,
forward,-21,-21,305,10,17,-0.375,
forward,-21,-21,305.0625,10,17,-0.4375,
forward,-21,-22,305.0625,10,16,-0.4375,
forward,-21,-19,305,10,16,-0.375,
forward,-22,-20,304.875,10,16,-0.25,
forward,-20,-21,304.9375,10,15,-0.3125,
forward,-21,-20,304.9375,10,15,-0.3125,
forward,-20,-19,304.875,10,15,-0.25,
forward,-18,-20,304.9375,10,15,-0.3125,
forward,-19,-20,305,10,14,-0.375,
forward,-19,-18,305,10,14,-0.375,
forward,-19,-19,304.9375,10,14,-0.3125,
forward,-19,-20,305,10,13,-0.375,
forward,-18,-19,305.0625,10,13,-0.4375,
forward,-19,-17,305,10,13,-0.375,
forward,-19,-18,305,10,13,-0.375,
forward,-18,-17,305,10,12,-0.375,
forward,-18,-17,304.9375,10,12,-0.3125,
forward,-18,-16,304.9375,10,12,-0.3125,
forward,-20,-17,304.8125,10,11,-0.1875,
forward,-18,-16,304.9375,10,11,-0.3125,
forward,-17,-16,304.875,10,11,-0.25,
forward,-17,-15,304.8125,10,10,-0.1875,
forward,-18,-16,304.875,10,10,-0.25,
forward,-16,-14,304.8125,10,10,-0.1875,
forward,-16,-14,304.8125,10,10,-0.1875,
forward,-15,-14,304.75,10,9,-0.125,
forward,-17,-14,304.6875,10,9,-0.0625,
forward,-16,-14,304.6875,10,9,-0.0625,
forward,-16,-14,304.625,10,9,0,
forward,-16,-13,304.625,10,9,0,
forward,-14,-13,304.5625,10,9,0.0625,
forward,-15,-13,304.5,10,9,0.125,
forward,-13,-13,304.4375,10,10,0.1875,
