time,label,delta_encL,delta_encR,heading,cmdL,cmdR
1765233223.364363,forward,0,0,325.875,10,10
1765233223.4144826,forward,-3,-2,325.875,10,10
1765233223.4646077,forward,-13,-8,325.875,10,10
1765233223.514725,forward,-8,-8,325.8125,10,10
1765233223.5648415,forward,-11,-273,325.5,10,12
1765233224.603437,forward,-284,-5,325.5,10,12
1765233224.653554,forward,-15,-16,325.4375,10,12
1765233224.7036686,forward,-14,-15,325.5625,10,12
1765233224.7537825,forward,-15,-14,325.5,10,14
1765233224.803897,forward,-15,-15,325.5,10,14
1765233224.8540108,forward,-16,-16,325.5,10,14
1765233224.9041247,forward,-16,-18,325.4375,10,14
1765233224.9542398,forward,-18,-16,325.4375,10,16
1765233225.0043557,forward,-17,-18,325.375,10,16
1765233225.0544715,forward,-17,-20,325.4375,10,16
1765233225.1045866,forward,-19,-21,325.4375,10,16
1765233225.1547017,forward,-18,-20,325.5,10,18
1765233225.2048156,forward,-19,-21,325.5,10,18
1765233225.2549312,forward,-19,-22,325.5625,10,18
1765233225.3050447,forward,-20,-22,325.625,10,18
1765233225.35516,forward,-20,-21,325.6875,10,18
1765233225.4052737,forward,-22,-24,325.625,10,18
1765233225.4553838,forward,-21,-22,325.6875,10,18
1765233225.5054963,forward,-20,-21,325.6875,10,18
1765233225.5556102,forward,-20,-22,325.6875,10,18
1765233225.605723,forward,-20,-22,325.6875,10,18
1765233225.6558359,forward,-21,-22,325.75,10,18
1765233225.7059507,forward,-21,-21,325.75,10,18
1765233225.7560616,forward,-21,-21,325.75,10,18
1765233225.806176,forward,-21,-25,325.8125,10,18
1765233225.8562884,forward,-22,-23,325.875,10,18
1765233225.9064124,forward,-22,-22,325.875,10,18
1765233225.9565282,forward,-22,-23,325.9375,10,18
1765233226.006643,forward,-21,-22,326.0625,10,18
1765233226.0567582,forward,-21,-21,326.0,10,18
1765233226.106873,forward,-21,-22,326.0,10,18
1765233226.1569881,forward,-21,-21,326.0625,10,18
1765233226.207104,forward,-21,-22,326.0,10,18
1765233226.257218,forward,-21,-21,326.0625,10,18
1765233226.3073328,forward,-21,-22,326.0625,10,18
1765233226.3574471,forward,-20,-23,326.125,10,18
1765233226.4075613,forward,-21,-21,326.1875,10,18
1765233226.4576733,forward,-21,-23,326.1875,10,16
1765233226.50779,forward,-20,-20,326.1875,10,16
1765233226.5579042,forward,-21,-20,326.1875,10,16
1765233226.6080167,forward,-19,-19,326.1875,10,16
1765233226.658132,forward,-19,-18,326.1875,10,14
1765233226.7082467,forward,-17,-18,326.1875,10,14
1765233226.7583604,forward,-18,-16,326.1875,10,14
1765233226.8084743,forward,-18,-18,326.1875,10,12
1765233226.8585892,forward,-17,-16,326.1875,10,12
1765233226.9087021,forward,-18,-15,326.1875,10,12
1765233226.958816,forward,-16,-15,326.125,10,12
1765233227.0089312,forward,-17,-16,326.125,10,12
1765233227.0590448,forward,-17,-16,326.125,10,12
1765233227.1091578,forward,-16,-16,326.125,10,12
1765233227.1592727,forward,-18,-17,326.125,10,12
1765233227.2093863,forward,-16,-16,326.125,10,12
1765233227.2594998,forward,-17,-16,326.125,10,12
1765233227.3096132,forward,-18,-16,326.0625,10,12
1765233227.3597264,forward,-17,-15,326.0625,10,12
1765233227.4098427,forward,-16,-15,326.0625,10,12
1765233227.4599545,forward,-16,-15,326.0625,10,12
1765233227.5100696,forward,-17,-16,326.0625,10,12
1765233227.5601823,forward,-16,-15,326.0625,10,12
1765233227.6102958,forward,-16,-15,326.0,10,12
1765233227.66041,forward,-16,-16,326.0625,10,12
1765233227.710522,forward,-17,-16,326.0,10,12
1765233227.760636,forward,-18,-17,326.0,10,12
1765233227.8107507,forward,-16,-16,326.0,10,12
1765233227.8608642,forward,-17,-16,326.0,10,12
1765233227.9109776,forward,-16,-15,325.9375,10,12
1765233227.961091,forward,-17,-17,325.9375,10,12
1765233228.0112054,forward,-15,-15,325.9375,10,12
1765233228.0613189,forward,-15,-14,325.875,10,12
1765233228.1114342,forward,-15,-15,325.875,10,12
1765233228.1615503,forward,-16,-15,325.875,10,12
1765233228.2116642,forward,-15,-16,325.875,10,12
1765233228.261816,forward,-16,-14,325.8125,10,12
1765233228.3119292,forward,-14,-14,325.8125,10,12
1765233228.3620455,forward,-16,-14,325.75,10,12
1765233228.412173,forward,-16,-16,325.75,10,12
1765233228.4622853,forward,-16,-16,325.75,10,12
1765233228.5124,forward,-17,-15,325.6875,10,12
1765233228.5625134,forward,-17,-15,325.6875,10,12
1765233228.6126275,forward,-16,-16,325.625,10,12
1765233228.6627405,forward,-17,-16,325.625,10,12
1765233228.7128544,forward,-17,-15,325.625,10,12
1765233228.7629678,forward,-16,-15,325.5625,10,12
1765233228.8130815,forward,-16,-17,325.5625,10,12
1765233228.8631954,forward,-16,-16,325.625,10,12
1765233228.9133089,forward,-17,-16,325.625,10,12
1765233228.9634233,forward,-16,-15,325.5625,10,12
1765233229.0135381,forward,-16,-16,325.625,10,12
1765233229.0636525,forward,-17,-17,325.5625,10,12
1765233229.1137667,forward,-16,-16,325.625,10,12
1765233229.1638813,forward,-16,-14,325.5625,10,12
1765233229.21401,forward,-16,-15,325.5,10,14
1765233229.2641263,forward,-16,-17,325.5,10,14
1765233229.314242,forward,-17,-19,325.5625,10,14
1765233229.3643582,forward,-17,-17,325.625,10,14
1765233229.4144742,forward,-18,-17,325.5,10,14
1765233229.464597,forward,-17,-20,325.5625,10,14
1765233229.5147138,forward,-18,-20,325.5625,10,14
1765233229.56483,forward,-19,-19,325.625,10,14
1765233229.6149468,forward,-18,-19,325.5625,10,14
1765233229.6650634,forward,-19,-21,325.625,10,14
1765233229.7151792,forward,-19,-19,325.6875,10,14
1765233229.7652955,forward,-20,-18,325.625,10,14
1765233229.8154094,forward,-19,-18,325.625,10,14
1765233229.8655245,forward,-19,-18,325.625,10,14
1765233229.9156384,forward,-18,-19,325.625,10,14
1765233229.9657545,forward,-18,-15,325.625,10,14
1765233230.0158694,forward,-18,-18,325.625,10,14
1765233230.0659847,forward,-19,-19,325.625,10,14
1765233230.1160996,forward,-18,-18,325.6875,10,14
1765233230.166215,forward,-19,-17,325.625,10,14
1765233230.216329,forward,-18,-18,325.625,10,14
1765233230.2664433,forward,-18,-18,325.625,10,14
1765233230.3165588,forward,-18,-18,325.6875,10,14
1765233230.3666744,forward,-18,-16,325.625,10,14
1765233230.4167879,forward,-17,-18,325.6875,10,14
1765233230.466899,forward,-17,-18,325.6875,10,14
1765233230.517013,forward,-17,-16,325.75,10,14
1765233230.5671277,forward,-17,-15,325.6875,10,14
1765233230.6172414,forward,-17,-17,325.6875,10,14
1765233230.667355,forward,-16,-17,325.6875,10,14
1765233230.7174678,forward,-17,-17,325.6875,10,14
1765233230.7675805,forward,-18,-17,325.6875,10,14
1765233230.8176935,forward,-17,-17,325.625,10,14
1765233230.8678093,forward,-17,-18,325.6875,10,14
1765233230.9179232,forward,-18,-19,325.6875,10,14
1765233230.9680383,forward,-18,-18,325.6875,10,14
1765233231.0181532,forward,-19,-19,325.6875,10,14
1765233231.0682693,forward,-18,-18,325.75,10,14
1765233231.1183841,forward,-19,-20,325.75,10,14
1765233231.1684976,forward,-19,-17,325.6875,10,14
1765233231.218609,forward,-19,-19,325.6875,10,14
1765233231.2687225,forward,-17,-18,325.75,10,14
1765233231.3188348,forward,-17,-17,325.75,10,14
1765233231.3689504,forward,-19,-17,325.6875,10,14
1765233231.419065,forward,-18,-18,325.6875,10,14
1765233231.4691756,forward,-17,-19,325.75,10,14
1765233231.5192893,forward,-19,-18,325.75,10,14
1765233231.5694017,forward,-21,-20,325.6875,10,14
1765233231.6195166,forward,-18,-18,325.6875,10,14
1765233231.6696298,forward,-18,-18,325.6875,10,14
1765233231.7197437,forward,-18,-18,325.6875,10,14
1765233231.7698584,forward,-19,-17,325.6875,10,14
1765233231.8199706,forward,-17,-18,325.6875,10,14
1765233231.8700838,forward,-17,-17,325.625,10,14
1765233231.920198,forward,-18,-17,325.6875,10,14
1765233231.9703093,forward,-17,-18,325.625,10,14
1765233232.0204234,forward,-18,-17,325.625,10,14
1765233232.0705376,forward,-17,-17,325.5625,10,14
1765233232.1206508,forward,-18,-17,325.5625,10,16
1765233232.1707644,forward,-18,-18,325.5,10,16
1765233232.2208784,forward,-18,-20,325.5625,10,16
1765233232.2709932,forward,-18,-19,325.5625,10,16
1765233232.3211083,forward,-19,-21,325.5625,10,18
1765233232.3712234,forward,-20,-21,325.5625,10,18
1765233232.4213376,forward,-19,-22,325.625,10,18
1765233232.4714692,forward,-20,-22,325.6875,10,18
1765233232.5215857,forward,-21,-23,325.6875,10,18
1765233232.571718,forward,-21,-22,325.6875,10,18
1765233232.6218195,forward,-21,-23,325.75,10,18
1765233232.6719408,forward,-22,-22,325.75,10,18
1765233232.7220592,forward,-20,-22,325.75,10,18
1765233232.7721736,forward,-22,-22,325.8125,10,18
1765233232.8222861,forward,-21,-24,325.8125,10,18
1765233232.8723993,forward,-23,-24,325.875,10,18
1765233232.9225144,forward,-21,-22,325.8125,10,18
1765233232.9726346,forward,-22,-24,325.875,10,18
1765233233.02275,forward,-22,-23,325.9375,10,18
1765233233.072864,forward,-21,-23,325.9375,10,18
1765233233.1229792,forward,-22,-25,326.0625,10,18
1765233233.1730933,forward,-22,-23,326.125,10,18
1765233233.2232084,forward,-21,-22,326.125,10,18
1765233233.2733238,forward,-22,-24,326.1875,10,16
1765233233.3234394,forward,-21,-21,326.1875,10,16
1765233233.3735538,forward,-21,-20,326.125,10,16
1765233233.4236684,forward,-20,-21,326.125,10,16
1765233233.4737864,forward,-21,-20,326.125,10,16
1765233233.5239031,forward,-20,-22,326.1875,10,16
1765233233.5740197,forward,-20,-20,326.1875,10,16
1765233233.6241353,forward,-21,-20,326.1875,10,14
1765233233.6742494,forward,-20,-19,326.1875,10,14
1765233233.7243643,forward,-19,-18,326.25,10,14
1765233233.7744787,forward,-18,-18,326.25,10,12
1765233233.824593,forward,-18,-17,326.25,10,12
1765233233.8747096,forward,-18,-14,326.1875,10,12
1765233233.9248233,forward,-16,-15,326.1875,10,12
1765233233.9749393,forward,-17,-15,326.1875,10,10
1765233234.025053,forward,-16,-15,326.1875,10,10
1765233234.0751674,forward,-17,-14,326.125,10,10
1765233234.12528,forward,-15,-13,326.125,10,10
1765233234.1753948,forward,-16,-12,326.0625,10,10
1765233234.2255094,forward,-14,-14,326.0625,10,10
1765233234.2756255,forward,-15,-15,326.0625,10,10
1765233234.3257387,forward,-16,-14,326.0625,10,10
1765233234.3758523,forward,-14,-15,326.0625,10,10
1765233234.4259677,forward,-16,-13,326.0,10,10
1765233234.4760795,forward,-14,-15,326.0625,10,10
1765233234.526193,forward,-16,-15,326.0625,10,10
1765233234.576305,forward,-16,-15,326.0,10,10
1765233234.6264193,forward,-15,-14,326.0,10,10
1765233234.676532,forward,-15,-14,326.0,10,10
1765233234.7266464,forward,-14,-14,326.0,10,10
1765233234.77676,forward,-14,-16,326.0,10,10
1765233234.8268738,forward,-15,-12,326.0,10,10
1765233234.8769891,forward,-14,-12,325.9375,10,10
1765233234.9271038,forward,-14,-13,325.9375,10,10
1765233234.9772177,forward,-14,-15,325.9375,10,10
1765233235.0273325,forward,-15,-15,325.9375,10,10
1765233235.0774448,forward,-16,-15,325.9375,10,10
1765233235.127559,forward,-16,-13,325.8125,10,10
1765233235.1776726,forward,-14,-15,325.875,10,10
1765233235.2277868,forward,-16,-15,325.875,10,10
1765233235.2779016,forward,-15,-15,325.8125,10,10
1765233235.3280156,forward,-15,-13,325.8125,10,10
1765233235.3781304,forward,-16,-14,325.75,10,10
1765233235.4282434,forward,-14,-14,325.75,10,10
1765233235.478366,forward,-14,-15,325.75,10,10
1765233235.5284848,forward,-14,-13,325.75,10,10
1765233235.5785995,forward,-14,-13,325.6875,10,10
1765233235.628714,forward,-14,-12,325.625,10,10
1765233235.6788409,forward,-14,-14,325.6875,10,10
1765233235.7289562,forward,-15,-14,325.625,10,10
1765233235.779072,forward,-13,-10,325.625,10,10
1765233235.8291867,forward,-14,-14,325.625,10,10
1765233235.879301,forward,-14,-12,325.5625,10,12
1765233235.9294155,forward,-14,-15,325.5,10,12
1765233235.9795318,forward,-14,-16,325.5625,10,12
1765233236.029647,forward,-16,-15,325.5625,10,12
1765233236.0797634,forward,-16,-16,325.5,10,14
1765233236.1298776,forward,-17,-18,325.5,10,14
1765233236.179992,forward,-17,-18,325.625,10,14
1765233236.2301066,forward,-16,-18,325.5625,10,14
1765233236.280221,forward,-18,-19,325.625,10,14
1765233236.3303342,forward,-17,-19,325.625,10,14
1765233236.3804505,forward,-18,-20,325.625,10,14
1765233236.4305663,forward,-17,-20,325.6875,10,14
1765233236.4806783,forward,-18,-19,325.75,10,14
1765233236.5307941,forward,-19,-18,325.6875,10,14
1765233236.5809093,forward,-18,-19,325.625,10,14
1765233236.6310232,forward,-18,-18,325.6875,10,14
1765233236.6811388,forward,-18,-19,325.75,10,14
1765233236.7312539,forward,-19,-19,325.6875,10,14
1765233236.781367,forward,-19,-18,325.6875,10,14
1765233236.831481,forward,-19,-20,325.75,10,14
1765233236.8815956,forward,-19,-18,325.75,10,14
1765233236.9317095,forward,-19,-19,325.75,10,14
1765233236.9818137,forward,-19,-20,325.8125,10,14
1765233237.03193,forward,-19,-19,325.875,10,14
1765233237.0820508,forward,-19,-19,325.875,10,14
1765233237.1321657,forward,-20,-19,325.875,10,14
1765233237.182279,forward,-19,-19,325.875,10,14
1765233237.2323914,forward,-19,-21,325.875,10,14
1765233237.2825081,forward,-19,-17,325.875,10,14
1765233237.3326228,forward,-18,-18,325.875,10,14
1765233237.3827374,forward,-20,-19,325.875,10,14
1765233237.4328518,forward,-19,-19,325.8125,10,14
1765233237.4829643,forward,-19,-18,325.8125,10,14
1765233237.5330787,forward,-18,-19,325.875,10,14
1765233237.5831933,forward,-18,-18,325.875,10,14
1765233237.633308,forward,-19,-19,325.875,10,14
1765233237.6834233,forward,-18,-17,325.875,10,14
1765233237.7335384,forward,-17,-18,325.9375,10,14
1765233237.7836537,forward,-17,-17,326.0,10,14
1765233237.8337703,forward,-17,-18,326.0,10,14
1765233237.8838837,forward,-17,-17,325.9375,10,14
1765233237.9339998,forward,-18,-17,326.0,10,14
1765233237.9841154,forward,-17,-18,326.0,10,14
1765233238.0342298,forward,-18,-17,326.0,10,14
1765233238.0843432,forward,-18,-17,325.9375,10,14
1765233238.1344602,forward,-18,-18,325.9375,10,14
1765233238.184574,forward,-17,-18,326.0,10,14
1765233238.2346895,forward,-18,-19,326.0,10,14
1765233238.2848027,forward,-19,-16,325.9375,10,14
