time,label,delta_encL,delta_encR,heading,cmdL,cmdR
1765497420.8856103,forward,0,0,342.375,12,7
1765497420.9357288,forward,-8,-12,342.375,11,10
1765497420.9858449,forward,-7,-5,342.25,11,8
1765497421.0359607,forward,-10,-11,342.25,11,10
1765497421.0861506,forward,-12,-11,342.25,11,10
1765497421.13627,forward,-12,-11,342.1875,11,10
1765497421.1863887,forward,-13,-13,342.1875,11,11
1765497421.236504,forward,-14,-13,342.125,11,11
1765497421.2866209,forward,-15,-14,342.125,11,11
1765497421.3367524,forward,-14,-14,342.125,11,11
1765497421.3868833,forward,-17,-15,342.1875,11,11
1765497421.437002,forward,-18,-17,342.1875,11,11
1765497421.4871197,forward,-17,-16,342.125,11,11
1765497421.5372365,forward,-18,-15,342.0625,11,11
1765497421.587357,forward,-17,-15,342.0625,11,11
1765497421.6374743,forward,-15,-16,342.0625,11,12
1765497421.68759,forward,-16,-15,342.125,11,11
1765497421.7377055,forward,-16,-15,342.125,11,11
1765497421.7878215,forward,-15,-15,342.125,11,11
1765497421.8379521,forward,-15,-14,342.125,11,11
1765497421.8880703,forward,-15,-14,342.125,11,11
1765497421.9381866,forward,-15,-16,342.125,11,12
1765497421.9883049,forward,-17,-16,342.125,11,11
1765497422.0384233,forward,-16,-17,342.1875,11,11
1765497422.0885592,forward,-17,-15,342.125,11,11
1765497422.1386802,forward,-17,-17,342.125,11,12
1765497422.188797,forward,-17,-16,342.125,11,11
1765497422.23891,forward,-16,-17,342.125,11,11
1765497422.2890277,forward,-18,-16,342.125,11,11
1765497422.3391647,forward,-17,-14,342.0,11,12
1765497422.3892813,forward,-17,-17,342.0,11,12
1765497422.439398,forward,-16,-17,342.0,11,12
1765497422.489519,forward,-17,-16,342.0,11,12
1765497422.5396369,forward,-17,-17,342.0,11,12
1765497422.589756,forward,-18,-17,342.0,11,12
1765497422.6398778,forward,-17,-17,342.0,11,12
1765497422.6899962,forward,-18,-16,342.0,11,12
1765497422.7401133,forward,-17,-16,341.9375,11,12
1765497422.7902317,forward,-17,-18,342.0,11,12
1765497422.8403583,forward,-18,-17,342.0,11,12
1765497422.890477,forward,-18,-17,342.0,11,12
1765497422.9405982,forward,-18,-17,341.9375,11,12
1765497422.9907167,forward,-18,-17,341.9375,11,12
1765497423.0408335,forward,-19,-18,341.9375,11,12
1765497423.0909774,forward,-18,-17,341.875,11,13
1765497423.1410956,forward,-18,-16,341.8125,11,12
1765497423.1912134,forward,-18,-17,341.8125,11,13
1765497423.2413313,forward,-18,-18,341.75,12,13
1765497423.2914488,forward,-18,-17,341.75,11,13
1765497423.3416157,forward,-404,-388,341.4375,9,11
1765497424.3792214,forward,-10,-9,341.5,13,11
1765497424.4293401,forward,-18,-17,341.4375,12,14
1765497424.4794564,forward,-24,-17,341.375,13,14
1765497424.5295732,forward,-19,-20,341.375,12,15
1765497424.579746,forward,-21,-24,341.375,13,17
1765497424.6298633,forward,-23,-20,341.375,13,14
1765497424.6799836,forward,-24,-24,341.4375,14,16
1765497424.7301028,forward,-24,-24,341.4375,14,16
1765497424.7802184,forward,-26,-24,341.375,15,16
1765497424.8303576,forward,-26,-23,341.3125,15,16
1765497424.8804736,forward,-27,-25,341.3125,15,17
1765497424.9305916,forward,-28,-26,341.3125,16,18
1765497424.9807081,forward,-28,-28,341.25,16,18
1765497425.0308247,forward,-28,-27,341.3125,17,18
1765497425.0809498,forward,-28,-29,341.375,17,18
1765497425.131073,forward,-30,-28,341.375,18,18
1765497425.1811986,forward,-30,-28,341.375,18,18
1765497425.2313166,forward,-32,-30,341.3125,18,20
1765497425.281433,forward,-32,-32,341.3125,18,21
1765497425.33157,forward,-33,-33,341.375,20,21
1765497425.3816862,forward,-35,-35,341.375,21,22
1765497425.4318047,forward,-38,-35,341.375,23,22
1765497425.4819207,forward,-41,-37,341.3125,24,23
1765497425.532044,forward,-45,-38,341.1875,25,23
1765497425.5821788,forward,-44,-41,341.125,25,24
1765497425.6322978,forward,-45,-43,341.0625,27,25
1765497425.6824176,forward,-48,-46,341.0625,28,27
1765497425.7325351,forward,-51,-47,340.9375,29,27
1765497425.7826517,forward,-55,-54,340.875,31,31
1765497425.8327868,forward,-59,-54,340.75,32,31
1765497425.8829038,forward,-62,-57,340.625,32,32
1765497425.9330208,forward,-62,-59,340.5,32,34
1765497425.983139,forward,-65,-63,340.4375,32,37
1765497426.0332568,forward,-67,-67,340.4375,32,39
1765497426.0833814,forward,-68,-71,340.4375,32,37
1765497426.1334994,forward,-70,-72,340.5625,32,37
1765497426.183616,forward,-70,-72,340.625,32,37
1765497426.2337317,forward,-71,-72,340.75,32,37
1765497426.2838507,forward,-71,-73,340.75,32,37
1765497426.3339696,forward,-72,-73,340.8125,32,37
1765497426.384087,forward,-71,-72,341.0,32,39
1765497426.4342048,forward,-71,-72,341.0,32,39
1765497426.4843228,forward,-72,-74,341.0625,32,37
1765497426.5344393,forward,-72,-74,341.1875,32,37
1765497426.5845726,forward,-71,-70,341.1875,32,37
1765497426.6346977,forward,-72,-73,341.25,31,37
1765497426.684817,forward,-71,-73,341.3125,31,37
1765497426.7349396,forward,-70,-72,341.3125,31,37
1765497426.7850573,forward,-76,-76,341.25,31,37
1765497426.8351905,forward,-70,-70,341.3125,32,37
1765497426.8853097,forward,-70,-70,341.3125,32,37
1765497426.9354284,forward,-72,-71,341.3125,32,37
1765497426.9855447,forward,-71,-71,341.3125,32,37
1765497427.035663,forward,-71,-72,341.375,32,37
1765497427.085786,forward,-72,-72,341.4375,32,37
1765497427.135907,forward,-71,-72,341.5625,31,37
1765497427.186025,forward,-73,-72,341.5625,32,35
1765497427.2361417,forward,-71,-70,341.625,32,34
1765497427.2862568,forward,-71,-69,341.8125,29,34
1765497427.3363888,forward,-68,-67,341.75,29,34
1765497427.3865058,forward,-66,-69,341.6875,29,35
